user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the annual deductible for the Gold PPO plan?,"[""{'plan_id': 'P101', 'plan_name': 'Gold PPO', 'monthly_premium': 500, 'annual_deductible': 2000, 'copay_pct': 10, 'coverage_type': 'PPO', 'network_tier': 'Gold'}""]","Your annual deductible for the Gold PPO plan is $2,000.","The annual deductible for the Gold PPO plan is $2,000.",,,0.9999999999,1.0
What is the annual deductible for the Silver HMO plan?,"[""{'plan_id': 'P102', 'plan_name': 'Silver HMO', 'monthly_premium': 300, 'annual_deductible': 1500, 'copay_pct': 20, 'coverage_type': 'HMO', 'network_tier': 'Silver'}""]","The annual deductible for the Silver HMO plan is **$1,500**.","The annual deductible for the Silver HMO plan is $1,500.",1.0,,0.9999999999,1.0
What is the annual deductible for the Bronze HMO plan?,"[""{'plan_id': 'P103', 'plan_name': 'Bronze HMO', 'monthly_premium': 150, 'annual_deductible': 1000, 'copay_pct': 30, 'coverage_type': 'HMO', 'network_tier': 'Bronze'}""]","Your annual deductible for the Bronze HMO plan is $1,000.","The annual deductible for the Bronze HMO plan is $1,000.",1.0,,0.9999999999,1.0
What happens after I meet my deductible on the Gold PPO plan?,"[""{'plan_id': 'P101', 'plan_name': 'Gold PPO', 'monthly_premium': 500, 'annual_deductible': 2000, 'copay_pct': 10, 'coverage_type': 'PPO', 'network_tier': 'Gold'}""]","After you pay the $2,000 annual deductible on the Gold PPO plan, the plan starts sharing the costs of covered services. You will pay **10 %** of the cost (your copay/coinsurance), and the plan will cover the remaining 90 %.","After meeting the $2,000 annual deductible on the Gold PPO plan, the member pays a 10% copay on covered services.",0.75,,0.9999999999,1.0
What is the monthly premium for the Silver HMO plan?,"[""{'plan_id': 'P102', 'plan_name': 'Silver HMO', 'monthly_premium': 300, 'annual_deductible': 1500, 'copay_pct': 20, 'coverage_type': 'HMO', 'network_tier': 'Silver'}""]",Your monthly premium for the Silver HMO plan is $300.,The monthly premium for the Silver HMO plan is $300.,1.0,,0.9999999999,1.0
Which plan has the lowest monthly premium?,"[""{'plan_id': 'P101', 'plan_name': 'Gold PPO', 'monthly_premium': 500, 'annual_deductible': 2000, 'copay_pct': 10, 'coverage_type': 'PPO', 'network_tier': 'Gold'}"", ""{'plan_id': 'P102', 'plan_name': 'Silver HMO', 'monthly_premium': 300, 'annual_deductible': 1500, 'copay_pct': 20, 'coverage_type': 'HMO', 'network_tier': 'Silver'}"", ""{'plan_id': 'P103', 'plan_name': 'Bronze HMO', 'monthly_premium': 150, 'annual_deductible': 1000, 'copay_pct': 30, 'coverage_type': 'HMO', 'network_tier': 'Bronze'}""]","The Bronze HMO plan has the lowest monthly premium, at $150 per month.",The Bronze HMO plan has the lowest monthly premium at $150 per month.,1.0,,0.3333333333,1.0
Which plan has the lowest annual deductible?,"[""{'plan_id': 'P101', 'plan_name': 'Gold PPO', 'monthly_premium': 500, 'annual_deductible': 2000, 'copay_pct': 10, 'coverage_type': 'PPO', 'network_tier': 'Gold'}"", ""{'plan_id': 'P102', 'plan_name': 'Silver HMO', 'monthly_premium': 300, 'annual_deductible': 1500, 'copay_pct': 20, 'coverage_type': 'HMO', 'network_tier': 'Silver'}"", ""{'plan_id': 'P103', 'plan_name': 'Bronze HMO', 'monthly_premium': 150, 'annual_deductible': 1000, 'copay_pct': 30, 'coverage_type': 'HMO', 'network_tier': 'Bronze'}""]","The Bronze HMO plan has the lowest annual deductible of $1,000.","The Bronze HMO plan has the lowest annual deductible at $1,000.",1.0,,0.3333333333,1.0
How does the Gold PPO copay compare to the Bronze HMO copay?,"[""{'plan_id': 'P101', 'plan_name': 'Gold PPO', 'monthly_premium': 500, 'annual_deductible': 2000, 'copay_pct': 10, 'coverage_type': 'PPO', 'network_tier': 'Gold'}""]",I don’t have that information in your plan documents. Please contact member support for help.,"The Gold PPO plan has a 10% copay, while the Bronze HMO plan has a 30% copay, so the Gold PPO copay is lower.",0.0,,0.9999999999,0.0
What network type does the Gold PPO plan use?,"['Gold PPO: $500/month premium, $2000 deductible, 10% copay, network: Gold (PPO)', 'Summary of Benefits and Coverage\nPlan: Gold PPO\nMonthly Premium: $500\nAnnual Deductible: $2000\nCopay: 10% after deductible\nCoverage includes preventive care, hospital visits, and prescriptions.\nNetwork: Nationwide PPO Network\nOut-of-pocket maximum: $5000 per year', 'Silver HMO: $300/month premium, $1500 deductible, 20% copay, network: Silver (HMO)', 'Bronze HMO: $150/month premium, $1000 deductible, 30% copay, network: Bronze (HMO)', 'ENFOLLMENTFORM\n\nMember Name: John Doe\n\nMemberID: M1001\n\nPlan Selected: Gold PPO\n\nDate of Birth: 1990-05-15\n\nEnrollment Date: 2028-01-15,\n\nCoverage Type: PPO\n\nSignature: John Dos\n\n[Note: OCR misread some fields - e.g., ""ENROLLMENT"" as ""ENFOLLMENT"", date ""2023"" as ""2028"", ""Doe"" as ""Dos"". Demonstrates typical OCR accuracy limitations.]']",The Gold PPO plan uses a **nationwide PPO network**.,The Gold PPO plan uses a nationwide PPO network.,1.0,,0.8666666666377778,1.0
What is the out-of-pocket maximum on the Gold PPO plan?,"['Summary of Benefits and Coverage\nPlan: Gold PPO\nMonthly Premium: $500\nAnnual Deductible: $2000\nCopay: 10% after deductible\nCoverage includes preventive care, hospital visits, and prescriptions.\nNetwork: Nationwide PPO Network\nOut-of-pocket maximum: $5000 per year', 'Gold PPO: $500/month premium, $2000 deductible, 10% copay, network: Gold (PPO)', 'Silver HMO: $300/month premium, $1500 deductible, 20% copay, network: Silver (HMO)', 'Bronze HMO: $150/month premium, $1000 deductible, 30% copay, network: Bronze (HMO)', 'ENFOLLMENTFORM\n\nMember Name: John Doe\n\nMemberID: M1001\n\nPlan Selected: Gold PPO\n\nDate of Birth: 1990-05-15\n\nEnrollment Date: 2028-01-15,\n\nCoverage Type: PPO\n\nSignature: John Dos\n\n[Note: OCR misread some fields - e.g., ""ENROLLMENT"" as ""ENFOLLMENT"", date ""2023"" as ""2028"", ""Doe"" as ""Dos"". Demonstrates typical OCR accuracy limitations.]']","The out‑of‑pocket maximum on the Gold PPO plan is **$5,000 per year**.","The out-of-pocket maximum on the Gold PPO plan is $5,000 per year.",1.0,,0.9999999999,1.0
